scenario_key	surface	head_avg_local_instructions	current_avg_local_instructions	delta_local_instructions	delta_pct	sql
typed.execute_sql_grouped.user_age_count.invalid_cursor	TypedExecuteSqlGroupedCustomer	213825	215636	1811	0.8469542850461826	SELECT age, COUNT(*) FROM Customer GROUP BY age ORDER BY age ASC LIMIT 2
typed.execute_sql_grouped.user_age_count.limit2.first_page	TypedExecuteSqlGroupedCustomer	6536914	6536075	-839	-0.012834802477132177	SELECT age, COUNT(*) FROM Customer GROUP BY age ORDER BY age ASC LIMIT 2
typed.execute_sql_grouped.user_age_count.limit2.second_page	TypedExecuteSqlGroupedCustomerSecondPage	6595498	6585475	-10023	-0.15196729648011417	SELECT age, COUNT(*) FROM Customer GROUP BY age ORDER BY age ASC LIMIT 2
typed.execute_sql_grouped.user_name_count	TypedExecuteSqlGroupedCustomer	7011088	7048177	37089	0.5290049133600948	SELECT name, COUNT(*) FROM Customer GROUP BY name ORDER BY name ASC LIMIT 10
typed.execute_sql_grouped.user_name_count.limit3.first_page	TypedExecuteSqlGroupedCustomer	7003536	6996702	-6834	-0.09757927995229838	SELECT name, COUNT(*) FROM Customer GROUP BY name ORDER BY name ASC LIMIT 3
typed.execute_sql_grouped.user_name_count.limit3.second_page	TypedExecuteSqlGroupedCustomerSecondPage	7045737	7047737	2000	0.028385958771949618	SELECT name, COUNT(*) FROM Customer GROUP BY name ORDER BY name ASC LIMIT 3
typed.execute_sql_grouped.user_name_sum_age	TypedExecuteSqlGroupedCustomer	7219355	7410110	190755	2.6422720589304722	SELECT name, SUM(age) FROM Customer GROUP BY name ORDER BY name ASC LIMIT 10
typed.insert.user_single	TypedInsertCustomer	919396	918088	-1308	-0.14226731462829945	INSERT Customer
typed.insert_many_atomic.user_10	TypedInsertManyAtomicCustomer10	8693110	8670814	-22296	-0.2564789816302796	INSERT MANY Customer ATOMIC x10
typed.insert_many_atomic.user_100	TypedInsertManyAtomicCustomer100	90985036	90744840	-240196	-0.2639950595832044	INSERT MANY Customer ATOMIC x100
typed.insert_many_atomic.user_1000	TypedInsertManyAtomicCustomer1000	973035944	970527930	-2508014	-0.2577514238261274	INSERT MANY Customer ATOMIC x1000
typed.insert_many_non_atomic.user_10	TypedInsertManyNonAtomicCustomer10	8568720	8547889	-20831	-0.24310515456217496	INSERT MANY Customer NON_ATOMIC x10
typed.insert_many_non_atomic.user_100	TypedInsertManyNonAtomicCustomer100	96578056	96339643	-238413	-0.24686042551943682	INSERT MANY Customer NON_ATOMIC x100
typed.insert_many_non_atomic.user_1000	TypedInsertManyNonAtomicCustomer1000	1119801012	1117031877	-2769135	-0.24728813158100627	INSERT MANY Customer NON_ATOMIC x1000
typed.query_from_sql.execute.scalar_limit	TypedQueryFromSqlCustomerExecute	593557	595031	1474	0.2483333529888452	SELECT * FROM Customer ORDER BY id LIMIT 2
typed.update.user_single	TypedUpdateCustomer	1436512	1433610	-2902	-0.20201710810630194	UPDATE Customer
