module_path	file	fanout	layers_touched	layer_count	risk
db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	11	query/plan,executor	2	medium
db::executor::aggregate::runtime::grouped_fold	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/mod.rs	11	executor,index/storage	2	medium
db::executor::aggregate::runtime::grouped_fold::ingest	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/ingest.rs	11	executor,index/storage	2	medium
db::executor::continuation::engine	crates/icydb-core/src/db/executor/continuation/engine.rs	11	query/plan,executor	2	medium
db::executor::pipeline::runtime::fast_path	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/mod.rs	11	executor,index/storage	2	medium
db::executor::projection::materialize	crates/icydb-core/src/db/executor/projection/materialize.rs	11	query/plan,executor	2	medium
db::executor::window	crates/icydb-core/src/db/executor/window.rs	11	query/plan,executor	2	medium
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	11	index/storage	1	medium
db::relation	crates/icydb-core/src/db/relation/mod.rs	11	index/storage	1	medium
db::relation::save_validate	crates/icydb-core/src/db/relation/save_validate.rs	11	index/storage	1	medium
types::principal	crates/icydb-core/src/types/principal.rs	11		0	medium
types::unit	crates/icydb-core/src/types/unit.rs	11		0	medium
db::executor::route::capability	crates/icydb-core/src/db/executor/route/capability.rs	10	query/plan,access,executor	3	medium
db::executor::scan::index_range_limit	crates/icydb-core/src/db/executor/scan/index_range_limit.rs	10	query/plan,executor,index/storage	3	medium
db::executor::scan::secondary_index	crates/icydb-core/src/db/executor/scan/secondary_index.rs	10	query/plan,executor,index/storage	3	medium
db::query::plan::continuation	crates/icydb-core/src/db/query/plan/continuation.rs	10	query/plan,access,executor	3	medium
db::cursor::validation	crates/icydb-core/src/db/cursor/validation.rs	10	query/plan,executor	2	medium
db::executor::aggregate::runtime::grouped_output::projection	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/projection.rs	10	query/plan,executor	2	medium
db::executor::terminal::ranking::by_slot	crates/icydb-core/src/db/executor/terminal/ranking/by_slot.rs	10	query/plan,executor	2	medium
db::query::plan::access_planner	crates/icydb-core/src/db/query/plan/access_planner.rs	10	query/plan,access	2	medium
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	10	query/plan,access	2	medium
db::query::plan::planner::predicate	crates/icydb-core/src/db/query/plan/planner/predicate.rs	10	query/plan,access	2	medium
db::executor::pipeline::contracts	crates/icydb-core/src/db/executor/pipeline/contracts/mod.rs	10	executor	1	medium
db::executor::pipeline::grouped_runtime::route_stage	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/route_stage.rs	10	executor	1	medium
db::executor::pipeline::orchestrator	crates/icydb-core/src/db/executor/pipeline/orchestrator/mod.rs	10	executor	1	medium
db::index::plan::commit_ops	crates/icydb-core/src/db/index/plan/commit_ops.rs	10	index/storage	1	medium
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	10		0	medium
types::blob	crates/icydb-core/src/types/blob.rs	10		0	medium
types::int	crates/icydb-core/src/types/int/mod.rs	10		0	medium
types::nat	crates/icydb-core/src/types/nat/mod.rs	10		0	medium
db::executor::aggregate::projection::covering	crates/icydb-core/src/db/executor/aggregate/projection/covering.rs	9	query/plan,access,executor	3	medium
db::executor::kernel	crates/icydb-core/src/db/executor/kernel/mod.rs	9	query/plan,executor,index/storage	3	medium
db::executor::mutation	crates/icydb-core/src/db/executor/mutation/mod.rs	9	query/plan,executor,index/storage	3	medium
db::executor::preparation	crates/icydb-core/src/db/executor/preparation.rs	9	query/plan,executor,index/storage	3	medium
db::cursor::token::grouped	crates/icydb-core/src/db/cursor/token/grouped.rs	9	executor,codec	2	medium
db::diagnostics::execution_trace	crates/icydb-core/src/db/diagnostics/execution_trace.rs	9	query/plan,access	2	medium
db::executor::aggregate::capability	crates/icydb-core/src/db/executor/aggregate/capability.rs	9	query/plan,executor	2	medium
db::executor::aggregate::distinct	crates/icydb-core/src/db/executor/aggregate/distinct.rs	9	query/plan,executor	2	medium
db::query::plan::planner::prefix	crates/icydb-core/src/db/query/plan/planner/prefix.rs	9	query/plan,access	2	medium
db::access::validate	crates/icydb-core/src/db/access/validate.rs	9	access	1	medium
db::index::predicate::compile	crates/icydb-core/src/db/index/predicate/compile.rs	9	index/storage	1	medium
db::index::range	crates/icydb-core/src/db/index/range.rs	9	index/storage	1	medium
db::data::key	crates/icydb-core/src/db/data/key.rs	9		0	medium
db::cursor	crates/icydb-core/src/db/cursor/mod.rs	8	query/plan,executor,codec	3	medium
db::cursor::order	crates/icydb-core/src/db/cursor/order.rs	8	query/plan,executor	2	low
db::data::row	crates/icydb-core/src/db/data/row.rs	8	index/storage,codec	2	low
db::executor::aggregate::contracts::state	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	8	executor,index/storage	2	low
db::executor::aggregate::runtime::grouped_fold::engine_init	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/engine_init.rs	8	query/plan,executor	2	low
db::executor::aggregate::runtime::grouped_fold::page_finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/page_finalize.rs	8	query/plan,executor	2	low
db::executor::aggregate::runtime::grouped_having	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_having.rs	8	query/plan,executor	2	low
db::executor::pipeline::contracts::execution::inputs	crates/icydb-core/src/db/executor/pipeline/contracts/execution/inputs.rs	8	query/plan,executor	2	low
db::executor::route::fast_path	crates/icydb-core/src/db/executor/route/fast_path.rs	8	query/plan,executor	2	low
db::executor::route::hints::aggregate	crates/icydb-core/src/db/executor/route/hints/aggregate.rs	8	query/plan,executor	2	low
db::executor::route::planner::feasibility	crates/icydb-core/src/db/executor/route/planner/feasibility/mod.rs	8	query/plan,executor	2	low
db::executor::scan::pk_stream	crates/icydb-core/src/db/executor/scan/pk_stream.rs	8	query/plan,executor	2	low
db::query::intent::key_access	crates/icydb-core/src/db/query/intent/key_access.rs	8	query/plan,access	2	low
db::query::plan::planner	crates/icydb-core/src/db/query/plan/planner/mod.rs	8	query/plan,access	2	low
db::data::entity_decode	crates/icydb-core/src/db/data/entity_decode.rs	8	index/storage	1	low
db::diagnostics	crates/icydb-core/src/db/diagnostics/mod.rs	8	index/storage	1	low
db::executor::aggregate::runtime::grouped_fold::candidate_rows	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/mod.rs	8	executor	1	low
db::executor::pipeline::entrypoints::grouped	crates/icydb-core/src/db/executor/pipeline/entrypoints/grouped.rs	8	executor	1	low
db::executor::pipeline::entrypoints::scalar::surface	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/surface.rs	8	executor	1	low
db::executor::pipeline::runtime	crates/icydb-core/src/db/executor/pipeline/runtime/mod.rs	8	executor	1	low
db::executor::scan::fast_stream	crates/icydb-core/src/db/executor/scan/fast_stream/mod.rs	8	executor	1	low
db::executor::terminal::ranking::materialized	crates/icydb-core/src/db/executor/terminal/ranking/materialized/mod.rs	8	executor	1	low
db::executor::terminal::ranking::materialized::projections	crates/icydb-core/src/db/executor/terminal/ranking/materialized/projections.rs	8	executor	1	low
db::query::expr	crates/icydb-core/src/db/query/expr.rs	8	query/plan	1	low
db::schema::describe	crates/icydb-core/src/db/schema/describe.rs	8		0	low
