module_path	file	loc	pub_types	pub_fns	match_count	if_count	branch_pressure	max_match_depth	fanout	module_layer	import_layers_touched	upward_imports	cross_layer_imports
db::executor::group	crates/icydb-core/src/db/executor/group/mod.rs	141	1	0	0	0	0	0	2	executor	query/plan,executor	1	1
db::executor::kernel	crates/icydb-core/src/db/executor/kernel/mod.rs	200	1	2	0	6	6	0	9	executor	query/plan,executor,index/storage	1	2
db::executor	crates/icydb-core/src/db/executor/mod.rs	219	3	6	2	0	2	1	18	executor	access,executor,index/storage	10	11
db::executor::mutation::commit_window	crates/icydb-core/src/db/executor/mutation/commit_window.rs	459	3	8	1	8	9	1	27	executor	index/storage	0	21
db::executor::mutation	crates/icydb-core/src/db/executor/mutation/mod.rs	48	0	2	0	0	0	0	9	executor	query/plan,executor,index/storage	1	2
db::executor::mutation::save	crates/icydb-core/src/db/executor/mutation/save.rs	428	1	12	3	12	15	1	14	executor	executor,index/storage,codec	0	5
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	340	0	3	4	13	17	1	15	executor	executor,index/storage	0	1
db::executor::pipeline::contracts::execution::inputs	crates/icydb-core/src/db/executor/pipeline/contracts/execution/inputs.rs	104	2	0	0	0	0	0	8	executor	query/plan,executor	1	1
db::executor::pipeline::contracts::execution	crates/icydb-core/src/db/executor/pipeline/contracts/execution/mod.rs	12	0	0	0	0	0	0	0	executor		0	0
db::executor::pipeline::contracts::execution::outcomes	crates/icydb-core/src/db/executor/pipeline/contracts/execution/outcomes.rs	60	2	1	0	0	0	0	3	executor	executor	0	0
db::executor::pipeline::contracts::execution::stream	crates/icydb-core/src/db/executor/pipeline/contracts/execution/stream.rs	105	1	4	0	0	0	0	3	executor	executor	0	0
db::executor::pipeline::contracts::grouped	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/mod.rs	13	0	0	0	0	0	0	0	executor		0	0
db::executor::pipeline::contracts::grouped::route_stage	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/mod.rs	12	0	0	0	0	0	0	0	executor		0	0
db::executor::pipeline::contracts::grouped::route_stage::payload	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/payload.rs	74	4	0	0	0	0	0	5	executor	query/plan,executor	5	5
db::executor::pipeline::contracts::grouped::route_stage::projection	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/projection.rs	172	1	0	0	0	0	0	13	executor	query/plan,executor	5	5
db::executor::pipeline::contracts::grouped::stages	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/stages.rs	175	2	4	0	0	0	0	6	executor	executor	0	0
db::executor::pipeline::contracts	crates/icydb-core/src/db/executor/pipeline/contracts/mod.rs	129	5	0	2	0	2	1	10	executor	executor	0	0
db::executor::pipeline::entrypoints::grouped	crates/icydb-core/src/db/executor/pipeline/entrypoints/grouped.rs	74	0	2	1	0	1	1	8	executor	executor	0	0
db::executor::pipeline::entrypoints	crates/icydb-core/src/db/executor/pipeline/entrypoints/mod.rs	85	0	5	0	0	0	0	12	executor	executor	0	0
db::executor::pipeline::entrypoints::scalar::hints	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/hints.rs	95	0	0	1	6	7	1	2	executor	executor	0	0
db::executor::pipeline::entrypoints::scalar	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/mod.rs	119	0	1	0	0	0	0	16	executor	access,executor,index/storage	1	2
db::executor::pipeline::entrypoints::scalar::surface	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/surface.rs	99	0	3	3	0	3	1	8	executor	executor	0	0
