module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
types::int::int128	crates/icydb-core/src/types/int/int128.rs	160	1	2	2.00	1	1	1	2	2
types::int	crates/icydb-core/src/types/int/mod.rs	135	1	2	2.00	0	0	1	2	1
types	crates/icydb-core/src/types/mod.rs	39	0	0	0.00	0	0	0	0	0
types::nat	crates/icydb-core/src/types/nat/mod.rs	142	1	2	2.00	1	1	1	3	2
types::nat::nat128	crates/icydb-core/src/types/nat/nat128.rs	154	1	2	2.00	1	1	1	3	2
types::parse	crates/icydb-core/src/types/parse.rs	24	0	0	0.00	2	2	1	0	2
types::principal	crates/icydb-core/src/types/principal.rs	180	2	4	2.00	2	2	1	2	4
types::subaccount	crates/icydb-core/src/types/subaccount.rs	142	1	2	2.00	0	0	1	3	1
types::timestamp	crates/icydb-core/src/types/timestamp.rs	383	6	13	2.17	9	9	2	3	15
types::ulid::fixture	crates/icydb-core/src/types/ulid/fixture.rs	15	0	0	0.00	0	0	0	1	0
types::ulid::generator	crates/icydb-core/src/types/ulid/generator.rs	43	0	0	0.00	2	2	2	1	2
types::ulid	crates/icydb-core/src/types/ulid/mod.rs	181	2	4	2.00	2	2	1	4	4
types::unit	crates/icydb-core/src/types/unit.rs	60	0	0	0.00	0	0	0	2	0
validate	crates/icydb-core/src/validate.rs	12	0	0	0.00	0	0	0	2	0
value::coercion	crates/icydb-core/src/value/coercion.rs	15	0	0	0.00	0	0	0	0	0
value::compare	crates/icydb-core/src/value/compare.rs	121	3	50	16.67	7	7	1	1	10
value::hash	crates/icydb-core/src/value/hash.rs	223	4	29	7.25	2	2	2	3	6
value	crates/icydb-core/src/value/mod.rs	916	22	158	7.18	20	20	2	3	42
value::rank	crates/icydb-core/src/value/rank.rs	5	0	0	0.00	0	0	0	1	0
value::storage_key	crates/icydb-core/src/value/storage_key.rs	336	10	79	7.90	4	4	2	3	14
value::tag	crates/icydb-core/src/value/tag.rs	93	2	48	24.00	0	0	1	1	2
value::wire	crates/icydb-core/src/value/wire.rs	125	2	28	14.00	0	0	1	2	2
visitor::context	crates/icydb-core/src/visitor/context.rs	81	1	2	2.00	1	1	2	1	2
visitor	crates/icydb-core/src/visitor/mod.rs	371	1	3	3.00	12	12	2	3	13
visitor::sanitize	crates/icydb-core/src/visitor/sanitize.rs	19	0	0	0.00	0	0	0	2	0
visitor::validate	crates/icydb-core/src/visitor/validate.rs	19	0	0	0.00	0	0	0	2	0
