Concept	Module	Role
PredicateCoercion	db::schema::types	consumer
PredicateCoercion	db::schema::validate	consumer
PredicateCoercion	db::sql::identifier	consumer
PredicateCoercion	model::index	plumbing
PredicateCoercion	scalar_registry	plumbing
PredicateCoercion	value	plumbing
PredicateCoercion	value::coercion	plumbing
PredicateCoercion	value::storage_key	plumbing
RouteShape	db::executor::route::contracts::execution::plan	branch
RouteShape	db::executor::route::planner::execution	branch
RouteShape	db::executor::route::planner::execution::shape_aggregate_count	branch
RouteShape	db::executor::route::planner::execution::shape_aggregate_grouped	branch
RouteShape	db::executor::route::planner::execution::shape_aggregate_non_count	branch
RouteShape	db::executor::route::planner::execution::shape_load	branch
RouteShape	db::executor::route::planner::intent	branch
